LOAN_ID,PD_RISK_RATING,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
ZZZ00013,5,CRE Permanent,0.282733584,0.190098122,944570.0091,0.226186867,0.09205547,99.40759504,0.346088966,1.517832477,1.680649311,1.034208022,0.719719051,A,T982,No
ZZZ00014,6,CRE Construction,0.923433484,0.619877615,,0.738746787,0.779439911,107.4972531,0.623281475,0.43484618,0.951606323,1.148712043,0.578617931,B,Y237,No
ZZZ00015,4,CRE Permanent,0.29231584,0.841010845,834063.7608,0.233852672,0.722913601,92.4380065,0.615815695,-1.6946178,0.990325252,1.162184736,0.728869621,A,Y237,Yes
ZZZ00016,2,CRE Permanent,0.837295628,0.217778605,,0.669836503,0.394806847,102.9980312,0.148554639,20.23414585,0.582571117,1.455513826,0.54224226,B,Z009,No
ZZZ00017,5,CRE Permanent,0.286223285,0.580219808,938713.7643,0.228978628,0.600564222,102.3218641,0.183090647,0.880848841,0.997484552,1.032762756,0.470409244,B,X456,No
ZZZ00018,2,CRE Construction,0.26682078,0.476996723,973747.0628,0.213456624,0.243418777,93.98547446,0.11441297,-3.022502198,0.388547973,1.003800957,0.730850323,B,R567,No
ZZZ00019,4,CRE Construction,0.18672279,0.783613096,862461.0209,0.149378232,0.381373736,112.8488378,0.01461878,-0.82242065,1.490152389,1.122275255,0.216737762,A,R567,No
ZZZ00020,2,C&I,0.232225911,0.989410505,977803.8595,0.185780728,0.373906779,96.75961282,0.486751541,-2.835035399,1.38717069,1.212968187,0.599209508,C,R567,No
ZZZ00021,4,CRE Construction,0.316612455,0.240142207,927609.849,0.253289964,0.730499965,104.6713456,0.964901561,-2.622672969,0.233705138,1.06551922,0.633750031,B,Y237,No
ZZZ00022,2,C&I,0.302693371,0.38771854,1049020.76,0.242154697,0.720533602,81.51094798,0.064562281,3.429192685,2.128035544,1.022255019,0.366588299,B,T982,No
ZZZ00023,2,CRE Permanent,,0.573471433,,0.127236802,0.246731013,124.1130089,0.541088186,1.755632421,0.749066559,1.194757827,0.348754453,C,Z009,No
ZZZ00024,1,CRE Construction,0.039995918,0.93734443,905350.7496,0.031996734,0.075912055,92.51275891,0.465898559,6.13154505,2.134527101,1.066466564,0.17406944,B,Y237,Yes
ZZZ00025,2,C&I,0.218799541,0.486835991,994845.3178,0.175039633,0.242596938,99.80527857,0.60146345,-4.753286413,1.296101885,1.093737457,0.146911654,B,T982,No
ZZZ00026,5,C&I,0.810598552,0.75486061,953640.3139,0.648478842,0.886368241,98.97543326,0.08892883,-7.328879617,0.560766841,1.534584415,0.954078044,C,X456,No
ZZZ00027,2,C&I,0.525697547,0.745492116,1035410.285,0.420558037,0.740864909,102.6781767,0.579002686,-2.742410121,0.380735738,1.568355033,0.884599164,A,Z009,No
ZZZ00028,7,C&I,0.914658166,0.187038988,959318.8398,0.731726533,0.471109215,92.85414675,0.269585504,-7.406582249,0.34586972,1.145113002,0.688495372,B,Z009,Yes
ZZZ00029,7,C&I,0.831345047,0.189806671,910825.6,0.665076037,0.259880024,79.94904944,0.556432561,-1.281643294,0.210383842,1.001566217,0.690142115,B,Y237,No
ZZZ00030,3,C&I,,0.356815189,955570.2896,0.036616211,0.46742826,85.02074669,0.644634234,7.605068355,1.603633458,1.301069805,0.541124458,B,R567,Yes
ZZZ00031,2,C&I,0.456091482,0.619823306,973606.5159,0.364873186,0.751550548,101.815019,0.481036371,0.701074962,2.457651523,1.443356292,0.288852959,C,Y237,No
ZZZ00032,1,CRE Permanent,0.265186672,0.466374379,1056146.479,0.212149337,0.500574243,91.59098539,0.355239147,-8.580421715,1.146569373,1.155298803,0.142039929,A,R567,No
ZZZ00033,4,C&I,0.304672203,0.624676743,883122.9985,0.243737762,0.822579138,124.7373525,0.249152121,-13.30703854,0.438844824,1.107440397,0.248662985,B,T982,No
ZZZ00034,6,CRE Construction,0.50730687,0.811313892,780195.8416,0.405845496,0.42089507,90.72979198,0.933515498,-0.841126099,4.109117574,1.108937856,0.29654796,B,T982,No
ZZZ00035,1,CRE Permanent,,0.662805429,,0.144876967,0.39802438,100.4527138,0.453388019,-3.666280915,0.528197849,1.104808068,0.792900898,A,R567,Yes
ZZZ00036,5,CRE Construction,0.759670635,0.416142331,929045.6827,0.607736508,0.261927937,97.20581864,0.530161207,2.681553902,1.340676007,1.599878898,0.070166444,C,X456,No
ZZZ00037,5,CRE Construction,0.201248038,0.429069919,915100.8977,0.16099843,0.132056767,91.95017275,0.019299566,4.029042269,1.386752131,1.198538097,0.309488525,C,T982,No
ZZZ00038,1,CRE Permanent,,0.436475571,,0.207047855,0.961346937,97.68341927,0.508101926,6.898058927,1.001831132,1.242854115,0.790704622,C,R567,Yes
ZZZ00039,5,CRE Permanent,0.992150418,0.009636126,930679.6473,0.793720334,0.565413008,101.8763065,0.005780237,1.309781438,0.344582267,1.002692914,0.588785955,B,Y237,Yes
ZZZ00040,5,CRE Construction,0.80735234,0.981403709,,0.645881872,0.546007676,82.74582335,0.143768428,2.344736208,1.178771213,1.307434721,0.180481048,A,T982,Yes
ZZZ00041,2,C&I,,0.951416571,1061819.599,0.442666873,0.832400546,107.0280561,0.472826925,5.664926718,1.181442687,1.050642421,0.07104369,C,Z009,Yes
ZZZ00042,4,C&I,0.646406094,0.27876501,1012511.219,0.517124875,0.7295175,91.80720338,0.377347441,-3.977113202,0.637656196,1.037188803,0.974812343,C,R567,No
ZZZ00043,1,C&I,0.311824307,0.503343957,1039285.945,0.249459446,0.614027866,100.0053545,0.054175199,-10.14325725,0.774361501,1.414780658,0.775674588,C,T982,No
ZZZ00044,4,C&I,0.621819198,0.396118054,,0.497455359,0.273406001,105.8296957,0.587528508,-6.708118776,0.794147466,1.132720212,0.875543134,A,R567,No
ZZZ00045,3,C&I,0.329770176,0.805649528,899623.359,0.263816141,0.179557858,87.74016292,0.164003224,-5.597175978,0.691753843,1.119404864,0.279471802,C,X456,No
ZZZ00046,1,CRE Permanent,0.501997473,0.966109625,1005285.742,0.401597978,0.133084898,77.18257541,0.557330237,-2.251893532,3.116379852,1.130942519,0.894871121,C,Y237,No
ZZZ00047,4,CRE Permanent,0.677094527,0.437352629,913292.4252,0.541675622,0.970367351,109.9763378,0.144245722,-8.550287155,0.384428946,1.191781093,0.967573469,B,Z009,Yes
ZZZ00048,3,C&I,0.484991239,0.323537979,992085.4904,0.387992991,0.018398894,79.10867776,0.937307085,0.91158345,0.661251629,1.00160934,0.676680352,C,X456,No
ZZZ00049,2,CRE Construction,0.243928827,0.964966529,992926.2828,0.195143062,0.434530629,93.77231854,0.770979972,4.620245906,0.416086574,1.221491689,0.087132275,B,X456,Yes
ZZZ00050,5,CRE Construction,0.765459788,0.121015748,1015689.996,0.61236783,0.014632502,106.994992,0.956933122,-1.525089788,2.016064735,1.023840154,0.261972476,C,T982,No
ZZZ00051,2,CRE Permanent,0.07377988,0.086435493,1157042.99,0.059023904,0.907117911,91.68977843,0.141227764,-7.214330167,0.53740285,1.11989047,0.91554912,A,Z009,No
ZZZ00052,1,CRE Permanent,0.309686602,0.598297472,1145005.651,0.247749281,0.797829511,110.4029286,0.305392708,3.347927853,0.295848766,1.049621657,0.646479691,B,Y237,No
ZZZ00053,5,CRE Permanent,0.717271743,0.135804564,837739.1006,0.573817395,0.759657803,103.5773665,0.039589624,-9.117599401,2.035496736,1.001193524,0.708813915,B,Y237,No
ZZZ00054,2,CRE Permanent,0.504545912,0.542824262,1008951.393,0.40363673,0.549364854,112.2233249,0.276783695,-2.969826002,0.419267969,1.328058967,0.271092009,C,Z009,No
ZZZ00055,1,C&I,0.152998959,0.464368534,1233888.645,0.122399167,0.056269827,98.98816489,0.806512505,-2.299158139,0.468415844,1.056352631,0.667881244,A,T982,Yes
ZZZ00056,1,CRE Permanent,0.503933488,0.272148713,,0.403146791,0.184798273,111.9678838,0.177343035,0.2938099,0.721298824,1.004632059,0.811261483,A,X456,No
ZZZ00057,4,CRE Permanent,,0.532070444,,0.395168738,0.65068565,93.35114988,0.154570515,1.154179822,1.624902522,1.009168184,0.352784535,A,X456,Yes
ZZZ00058,1,CRE Permanent,0.751200197,0.208713807,1057658.271,0.600960158,0.258566356,85.45637874,0.954718656,2.036373422,3.619218011,1.110938288,0.207652338,B,Y237,Yes
ZZZ00059,1,C&I,0.174649824,0.698706996,1082308.125,0.139719859,0.934004477,85.15629549,0.1545514,-0.804454315,1.305142079,1.536416048,0.733396777,B,R567,No
ZZZ00060,1,CRE Permanent,0.84839241,0.905193838,1189901.945,0.678713928,0.036428044,109.1288801,0.833889294,2.311053996,2.416234144,1.273418863,0.729315076,A,Z009,Yes
ZZZ00061,8,C&I,,0.444618805,911678.0314,0.691867066,0.847744406,120.0094065,0.041062806,4.437061895,0.809543256,1.032707332,0.594024598,C,T982,No
ZZZ00062,2,C&I,0.041857275,0.020168493,1022921.542,0.03348582,0.185483101,88.04978136,0.386183528,-1.682234177,0.883718724,1.005247191,0.833522683,A,Y237,No
ZZZ00063,2,C&I,0.317182155,0.341625766,,0.253745724,0.269368286,94.51149332,0.349592302,1.560826301,1.208057358,1.587807489,0.516619324,C,X456,Yes
ZZZ00064,1,CRE Permanent,0.013749939,0.41878476,1225282.804,0.010999951,0.684066611,109.0112926,0.341707793,-6.41075238,6.779172739,1.023934611,0.566586743,B,R567,No
ZZZ00065,2,CRE Construction,0.239025727,0.987866283,,0.191220581,0.978167326,108.2223469,0.816463057,5.590063526,0.75008113,1.115475552,0.378549275,A,T982,No
ZZZ00066,1,C&I,0.706494617,0.714100407,1000050.418,0.565195694,0.908692182,82.51009065,0.475934908,0.828198254,2.484156244,1.15392017,0.181665469,A,Z009,No
ZZZ00067,1,CRE Construction,0.308094757,0.171001874,1110808.647,0.246475806,0.658656058,113.5841095,0.78289029,-4.596355004,0.496300771,1.119066557,0.925184018,C,X456,Yes
ZZZ00068,5,CRE Permanent,0.508547566,0.645353138,903319.5045,0.406838053,0.393687456,120.0837808,0.470840125,-2.046417832,0.937104122,1.024548792,0.604113732,A,T982,Yes
ZZZ00069,4,C&I,0.051646619,0.559307078,921224.8747,0.041317295,0.767677887,108.0219174,0.817344007,-0.257085058,4.373677459,1.156807044,0.735391459,C,T982,No
ZZZ00070,3,C&I,0.56456984,0.536737459,927159.9804,0.451655872,0.76033755,90.0928239,0.881567599,6.249099372,0.431781782,1.149214333,0.765025222,B,Y237,Yes
ZZZ00071,4,CRE Construction,0.121480187,0.717184109,915165.9624,0.09718415,0.496129115,76.31807055,0.439596398,5.603745293,3.738614285,1.022812727,0.095470125,A,R567,No
ZZZ00072,1,CRE Construction,0.892836382,0.975073707,,0.714269105,0.716859173,106.0656323,0.781063598,1.152904767,3.936056053,1.031192677,0.76329394,B,Y237,Yes
ZZZ00073,4,CRE Construction,0.014627256,0.165693135,965594.0483,0.011701805,0.415192045,90.32330762,0.81474116,0.41261801,1.316527094,1.01001461,0.626746911,B,Y237,Yes
ZZZ00074,2,CRE Permanent,0.783121104,0.762138719,1109075.964,0.626496883,0.238633676,97.81759702,0.295678916,-1.463003165,0.709895558,1.093517761,0.523610006,A,T982,Yes
ZZZ00075,1,C&I,0.089961333,0.934882957,1106444.912,0.071969066,0.24044995,113.3106416,0.123876674,-2.433316146,1.344522999,1.173327795,0.954723641,C,T982,Yes
ZZZ00076,1,CRE Construction,0.519189981,0.75399769,1100091.091,0.415351985,0.343152461,97.80136035,0.185621861,5.11694921,1.129270337,1.133284568,0.879149586,B,T982,No
ZZZ00077,1,CRE Permanent,0.384266688,0.495276819,1035070.78,0.30741335,0.205957466,101.5676844,0.436059794,-1.198228303,1.261365996,1.108004681,0.005952303,B,T982,No
ZZZ00078,5,CRE Construction,,0.546346092,874450.8286,0.056041998,0.178974184,96.68650394,0.119467407,-2.798375866,0.67902496,1.03260085,0.676852476,A,Z009,Yes
ZZZ00079,2,CRE Construction,,0.516841332,1045458.429,0.256515538,0.757505924,83.29098734,0.529799142,-0.843395275,1.45159756,1.345329057,0.297826748,C,Y237,No
ZZZ00080,5,C&I,0.668495397,0.222941733,928618.5517,0.534796318,0.360863643,107.4990313,0.829421161,-5.208610107,1.51980072,1.016637377,0.86611381,B,X456,Yes
ZZZ00081,2,CRE Construction,0.926400476,0.766109761,,0.741120381,0.236394567,92.1044608,0.485201153,-3.473475079,2.011367551,1.020592201,0.164657048,C,T982,No
ZZZ00082,4,C&I,0.471909721,0.527026487,925724.7588,0.377527777,0.746339328,90.06262486,0.817734002,1.915344385,2.206454813,1.107577694,0.441623575,C,T982,Yes
ZZZ00083,1,CRE Permanent,0.142615343,0.896359839,1010198.07,0.114092275,0.848835327,107.174584,0.656391623,0.8145624,5.269967483,1.093153145,0.738934752,A,R567,Yes
ZZZ00084,2,C&I,0.544269755,0.41804709,1031116.707,0.435415804,0.092615278,102.9565038,0.641043031,2.281709985,2.620755636,1.206561316,0.201463941,B,R567,Yes
ZZZ00085,8,C&I,0.196174652,0.08621918,781769.0135,0.156939721,0.775748689,77.47941511,0.345348925,-2.264164662,4.097447861,1.111531631,0.69317038,C,X456,No
ZZZ00086,8,CRE Construction,,0.126943729,894449.8967,0.718864391,0.765493247,98.10402792,0.702658949,1.899524067,1.801063557,1.171114181,0.483772563,C,R567,Yes
ZZZ00087,1,CRE Construction,,0.189760392,,0.311599828,0.946184471,94.97104234,0.809940584,-13.59372177,1.033767204,1.00010732,0.950359727,C,Y237,Yes
ZZZ00088,7,CRE Permanent,0.31087078,0.209026726,824532.3672,0.248696624,0.28183675,105.5520245,0.157169585,0.477421795,1.86724517,1.00496416,0.342291974,B,T982,No
ZZZ00089,5,C&I,0.160028663,0.183438698,971045.1281,0.12802293,0.551673254,103.8272768,0.907990619,0.140051756,0.389768209,1.01951264,0.577627156,C,Y237,No
ZZZ00090,5,C&I,0.89618585,0.083121006,917076.0281,0.71694868,0.380045824,88.98326369,0.269330367,4.264964775,0.634007067,1.242619666,0.37297235,C,Z009,No
ZZZ00091,2,CRE Permanent,0.16639378,0.874820706,983037.645,0.133115024,0.352454807,102.3138339,0.154846496,3.559327304,0.682262906,1.143722766,0.836547126,A,T982,Yes
ZZZ00092,5,CRE Permanent,0.900424596,0.00117752,1037208.067,0.720339677,0.343937295,93.73001269,0.840479165,0.780149946,1.573585679,1.061123354,0.168314344,B,T982,No
ZZZ00093,6,CRE Permanent,0.134078195,0.378899442,799938.3975,0.107262556,0.036057261,114.4946142,0.72012798,-2.891617195,1.248261986,1.211360906,0.686370726,A,X456,No
ZZZ00094,5,C&I,0.131614134,0.004147648,,0.105291307,0.251297825,117.1403019,0.793562396,4.168883889,0.880367556,1.131700155,0.184288526,A,X456,Yes
ZZZ00095,3,C&I,,0.015434699,956046.8021,0.084230002,0.87276171,95.46747574,0.446670664,2.874679394,1.40467131,1.153312686,0.390055816,C,Y237,Yes
ZZZ00096,5,CRE Construction,0.511583581,0.152552381,938750.9398,0.409266865,0.364102664,86.98255356,0.070773885,1.073388257,1.635917595,1.013687335,0.612584457,B,Y237,Yes
ZZZ00097,8,C&I,0.300199054,0.761964511,739128.9941,0.240159243,0.466427902,105.6400728,0.39524305,-3.222841398,0.497523111,1.357589072,0.065152747,B,Y237,Yes
ZZZ00098,2,CRE Construction,0.026716895,0.291999691,1263278.415,0.021373516,0.185528293,107.6676951,0.047735295,-3.435372018,0.4247119,1.028894177,0.158557544,C,Y237,No
ZZZ00099,2,C&I,0.309647431,0.536334794,1004567.153,0.247717945,0.120077254,113.6005923,0.286133504,0.596238266,0.396193354,1.182148632,0.692763589,C,Y237,No
ZZZ000100,3,CRE Permanent,0.742119657,10.1243,914202.0297,0.593695726,0.724520372,96.7486822,0.037994595,-3.116229405,1.40246727,1.082283959,0.395583153,A,Z009,Yes
ZZZ000101,8,CRE Permanent,0.035456727,0.002335274,847446.5714,0.028365382,0.169340552,83.51016,0.506714842,-6.927267611,0.395469968,1.476813932,0.783375205,B,Y237,Yes
ZZZ000102,5,CRE Permanent,,0.349474308,955286.1179,0.45206089,0.032132432,91.03621484,0.087667799,-8.486060252,0.249915802,1.002770664,0.070704595,B,Y237,No
ZZZ000103,5,CRE Construction,,0.485739666,856631.4516,0.224206221,0.250491055,84.95721125,0.932825647,-5.96023917,0.572395211,1.117193497,0.527911326,B,T982,No
ZZZ000104,1,CRE Construction,0.204196316,0.462028971,1007669.957,0.163357053,0.912871392,111.9307449,0.69938729,2.422888965,0.349388038,1.002579076,0.282693761,C,Z009,No
ZZZ000105,2,C&I,0.133738899,0.969691132,952658.596,0.106991119,0.649302159,101.8074084,0.316986027,-5.891629932,0.241110152,1.057512882,0.370738952,B,Z009,No
ZZZ000106,2,CRE Construction,0.325681924,0.798613784,,0.260545539,0.784882268,86.51489015,0.94505107,-2.760050281,5.321578668,1.358182268,0.369720866,A,X456,No
ZZZ000107,1,CRE Permanent,0.15506197,0.944193127,932129.6562,0.124049576,0.663027946,106.2125346,0.066227604,0.796024109,1.158735763,1.036287813,0.638894714,B,T982,Yes
ZZZ000108,8,CRE Construction,0.12996214,0.248375973,813023.6697,0.103969712,0.709294365,98.54259846,0.257428891,1.476010748,2.514537585,1.043208345,0.480553514,A,R567,Yes
ZZZ000109,3,CRE Construction,0.43553106,0.484284424,895414.2629,0.348424848,0.971960025,103.9811121,0.072999646,3.184283677,1.448415993,1.083814423,0.015730434,C,X456,Yes
ZZZ000110,4,C&I,0.038642653,0.870994715,869427.7354,0.030914122,0.22863152,97.843358,0.426304258,-4.968354244,0.997988481,1.020540768,0.630959989,B,X456,No
ZZZ000111,2,CRE Permanent,0.713301563,0.061480578,,0.57064125,0.166047445,111.4916722,0.201896773,0.867937646,0.188594873,1.053662252,0.278112607,B,X456,No
ZZZ000112,4,C&I,0.100769041,0.163695405,978524.7641,0.080615233,0.192566181,109.5331331,0.396646635,-9.353076449,0.322444459,1.112155574,0.650126158,A,X456,No
ZZZ000113,4,C&I,0.950304938,0.315733409,987295.6929,0.760243951,0.360972811,113.0854104,0.704859912,2.109264991,0.365563499,2.585337586,0.245127216,C,T982,No
ZZZ000114,1,C&I,0.121817763,0.261075528,,0.09745421,0.39152813,78.27010184,0.887353342,12.49356616,0.366769096,1.35842431,0.733395802,C,X456,Yes
ZZZ000115,3,CRE Construction,0.219656621,0.871425271,827515.7649,0.175725297,0.143654612,102.5428342,0.500517795,-2.441330694,0.198948705,1.091922807,0.541147052,A,T982,Yes
ZZZ000116,2,CRE Construction,0.913087767,0.644638326,1110913.638,0.730470213,0.426729742,105.6123531,0.818531549,-1.161719984,1.584043927,1.016454053,0.771954667,A,Y237,Yes
ZZZ000117,5,CRE Permanent,0.945853121,0.327732585,878812.9536,0.756682497,0.279768443,99.9726695,0.361254513,3.089608939,2.811134334,1.020064914,0.875133762,C,T982,No
ZZZ000118,1,CRE Permanent,,0.863929,,0.223324978,0.990436927,91.64700848,0.858686173,-1.882044574,1.380253655,1.212732398,0.724508504,B,R567,Yes
ZZZ000119,7,CRE Construction,0.123471088,0.003352871,729567.1387,0.09877687,0.36167866,91.51128542,0.515034176,5.50234906,1.072871781,1.236584594,0.116215944,B,R567,No
ZZZ000120,4,CRE Permanent,,0.092509969,1046031.71,0.637728368,0.661568068,103.3489786,0.702415477,3.146323182,1.704890257,1.151625973,0.519758133,B,Z009,Yes
ZZZ000121,7,C&I,0.744277215,0.130103485,805188.1889,0.595421772,0.364846943,95.4338901,0.174689918,-5.731096068,1.736713996,1.391481212,0.758203533,C,X456,No
ZZZ000122,2,CRE Permanent,0.915974224,0.478442109,1065303.232,0.732779379,0.780382148,95.89560069,0.584511811,-7.556496203,0.588865271,1.123385353,0.790444631,B,T982,No
ZZZ000123,4,CRE Construction,0.994598245,0.921797672,877177.9126,0.795678596,0.925451184,107.7305472,0.301777058,4.106444568,0.17414659,1.176996065,0.667034436,A,Z009,No
ZZZ000124,5,C&I,0.942360715,0.132257264,912852.4246,0.753888572,0.365358221,77.05368033,0.812851394,0.445618109,0.675294329,1.093607604,0.876276076,C,R567,Yes
ZZZ000125,5,C&I,0.486135408,0.076807491,989412.2376,0.388908326,0.424038235,108.121221,0.534340748,-4.848748488,2.735025246,1.144736604,0.487607038,C,Z009,Yes
ZZZ000126,2,CRE Construction,0.283459543,0.375319422,993074.8573,0.226767634,0.374597863,89.26682027,0.499587304,-3.293832942,0.870927104,1.139803609,0.007856229,C,Z009,No
ZZZ000127,2,CRE Permanent,0.251545701,0.690149234,1022617.202,0.201236561,0.650145672,111.3124659,0.773325204,8.000320408,1.203124705,1.079606198,0.690188737,C,Y237,No
ZZZ000128,7,CRE Construction,0.503255171,0.274354123,,0.402604137,0.684101005,92.4633524,0.549030673,-3.930531711,0.161885998,1.25130311,0.360431181,B,T982,Yes
ZZZ000129,4,C&I,0.496966173,0.317954816,994958.4248,0.397572939,0.967021881,105.7514987,0.333758012,-6.190454049,1.099498471,1.272892523,0.639358612,B,T982,No
ZZZ000130,2,CRE Permanent,0.31844581,0.785039666,1171252.322,0.254756648,0.198623114,96.93132796,0.13093286,-4.433671039,3.63386234,1.469597475,0.054367465,A,Y237,No
ZZZ000131,3,CRE Construction,,0.729037731,979957.4641,0.769778262,0.524167401,96.14492473,0.62450599,4.753056568,0.434142538,1.164606829,0.683806784,C,R567,No
ZZZ000132,4,CRE Permanent,,0.41306637,961767.1683,0.507279495,0.869577345,105.4855808,0.925346219,-0.777310285,1.501578739,1.331464074,0.111154233,C,Z009,Yes
ZZZ000133,2,CRE Construction,0.127433398,0.160489649,1135654.541,0.101946718,0.621187123,74.67340982,0.842338857,-3.318045221,0.26535807,1.087883369,0.155150625,B,Z009,No
ZZZ000134,4,CRE Permanent,0.423046994,0.011897529,1029759.64,0.338437595,0.665629711,108.6987213,0.069749785,-0.952023504,0.56922374,1.031701867,0.938626381,A,T982,No
ZZZ000135,5,CRE Construction,0.91431691,0.867544067,,0.731453528,0.584885093,90.47993855,0.325285205,4.270575647,1.071120243,1.028749405,0.668555899,C,Y237,Yes
ZZZ000136,1,CRE Construction,0.467792333,0.716447305,1052538.663,0.374233867,0.885260985,108.5908772,0.001706374,0.838684649,0.19106004,1.384758439,0.533796807,B,Z009,No
ZZZ000137,5,CRE Construction,,0.088075604,978429.0848,0.726535316,0.822976854,97.87874294,0.674697198,1.026897325,0.595973036,1.094194569,0.623322438,B,X456,Yes
ZZZ000138,1,CRE Permanent,0.597743284,0.457049912,1082651.924,0.478194627,0.346508904,109.8475491,0.638280117,-5.516697266,0.621783508,1.127196604,0.120659289,C,Z009,Yes
ZZZ000139,4,CRE Permanent,0.631742816,0.263225703,1008254.106,0.505394253,0.806517028,109.5282551,0.757908775,1.623802104,2.139677717,1.291577915,0.889307656,B,Y237,No
ZZZ000140,4,CRE Permanent,0.869158319,0.810529536,891138.4872,0.695326655,0.45231353,107.3962745,0.148273929,1.874417327,1.752726846,1.067394026,0.340204918,A,X456,No
ZZZ000141,2,CRE Construction,,0.630389974,989220.0049,0.402199858,0.343262656,104.2233216,0.217033692,3.08115869,0.539884786,1.077990418,0.816053251,B,R567,No
ZZZ000142,1,CRE Construction,0.983635115,0.372593345,1141392.301,0.786908092,0.525407734,86.58714329,0.432772379,-5.279169937,0.456564033,1.212222941,0.847809034,B,Y237,Yes
ZZZ000143,1,CRE Construction,0.324386027,0.825984518,940368.8399,0.259508822,0.096081353,113.2190309,0.736724856,-1.493428399,0.40144465,1.072326173,0.137432256,A,Y237,Yes
ZZZ000144,3,C&I,0.481374949,0.11253594,990976.8849,0.385099959,0.905216635,95.88043904,0.207119003,-3.965229722,0.189725974,1.205739003,0.233585296,A,R567,Yes
ZZZ000145,1,CRE Construction,0.356987078,0.897747307,1077679.968,0.285589662,0.326878848,104.3726088,0.822836926,4.523565891,0.952037003,1.063303188,0.73665205,A,X456,No
ZZZ000146,2,C&I,0.627477684,0.200410515,1213359.92,0.501982147,0.197442092,92.18802941,0.381201088,-4.339205164,1.569281447,1.192676344,0.869104396,C,R567,Yes
ZZZ000147,4,C&I,0.741600191,0.434419416,915772.6729,0.593280152,0.245068145,98.8280186,0.874285779,-2.948913279,1.810915717,1.027241507,0.496541382,B,T982,No
ZZZ000148,2,CRE Permanent,0.565966817,0.905738778,1141396.532,0.452773454,0.578223629,106.8535443,0.960024664,-5.716556034,0.285929867,1.045274776,0.100800918,A,X456,No
ZZZ000149,4,C&I,0.980786507,0.044000426,1101500.671,0.784629205,0.857762054,99.81302061,0.53748772,3.484011848,1.923073048,1.014325062,0.224672798,A,T982,Yes
ZZZ000150,7,CRE Permanent,0.576812736,0.429556388,828476.3609,0.461450188,0.743038261,114.171498,0.921067359,-2.39078334,1.631423729,1.143644472,0.683480964,C,X456,No
ZZZ000151,2,C&I,0.439042052,0.652979665,1106906.749,0.351233641,0.678021398,110.8553181,0.422036866,-3.725684849,1.702606159,1.118188228,0.714686361,B,R567,No
ZZZ000152,2,C&I,0.228599695,0.28152876,1151676.008,0.182879756,0.421269608,106.2447923,0.68527009,-0.303552244,2.228458708,1.139484274,0.111631432,A,X456,Yes
ZZZ000153,5,C&I,,0.576035648,870479.6817,0.065726453,0.019402909,99.2625215,0.846908846,4.491330211,0.247059219,1.045699941,0.892163569,B,T982,No
ZZZ000154,1,C&I,0.850264922,0.611114231,1020266.481,0.680211937,0.6481941,92.39719814,0.838767786,-3.016454339,2.988372047,1.148228199,0.669921977,B,X456,Yes
ZZZ000155,1,C&I,0.234661262,0.752873977,,0.187729009,0.459193107,97.16959627,0.092868826,1.28194833,3.831276389,1.325109189,0.814865913,B,Y237,No
